country,year,msw_gen_t,msw_trt_t,gdp_meur,population,msw_data_flag,log_gdp,log_pop,log_msw
FI,2010,2519000.0,2519000.0,188147.0,,reported,12.144978851169512,,14.739372555334747
FI,2011,2719000.0,2718000.0,192644.5,,reported,12.168601800464312,,14.815774723614608
FI,2012,2738000.0,2738000.0,189710.8,,reported,12.153256086300432,,14.822738284830532
FI,2013,2682000.0,2682000.0,187852.1,,reported,12.143410230071915,,14.80207334282376
FI,2014,2630000.0,2630000.0,186954.1,,reported,12.138618411162373,,14.782494404153947
FI,2015,2738000.0,2738000.0,187826.2,5471753.0,reported,12.143272346142814,15.515109598376844,14.822738284830532
FI,2016,2768000.0,2768000.0,192657.0,5487308.0,reported,12.168666684717317,15.51794834714297,14.833635595719697
FI,2017,2812000.0,2812000.0,199021.1,5503297.0,reported,12.201166128236585,15.52085792514705,14.849406531912692
FI,2018,3041000.0,3041000.0,201395.4,5513130.0,reported,12.213025418886593,15.52264307792141,14.927696966659502
FI,2019,3123000.0,3123000.0,204113.7,5517919.0,reported,12.226432470504069,15.523511354420021,14.954304636265215
FI,2020,3370000.0,3370000.0,199029.2,5525292.0,reported,12.201206826610639,15.524846654650275,15.030423302328545
FI,2021,3491000.0,3491000.0,204355.9,5533793.0,reported,12.227618360608911,15.526384033497507,15.065698786087173
FI,2022,2898000.0,2898000.0,205915.2,5548241.0,reported,12.235219712534962,15.528991498550555,14.879531401862765
FI,2023,2612000.0,2612000.0,203259.5,5563970.0,reported,12.22223876678516,15.531822440206478,14.775626769378459
FR,2004,32444000.0,32444000.0,1869659.3,,reported,14.441266779718328,,17.295026084172374
FR,2005,33347000.0,33347000.0,1904969.0,,reported,14.459976293444653,,17.322478371257223
FR,2006,33962000.0,33962000.0,1956671.1,,reported,14.486755168891694,,17.340752810488382
FR,2007,34577000.0,34577000.0,2006184.3,,reported,14.511745117660695,,17.35869927910604
FR,2008,34501000.0,34501000.0,2013811.3,,reported,14.51553965373006,,17.356498867088764
FR,2009,34426000.0,34426000.0,1956930.1,,reported,14.486887527804697,,17.35432265081359
FR,2010,34609000.0,34609000.0,1996075.1,,reported,14.506693360396236,,17.35962432181069
FR,2011,34790000.0,34790000.0,2044731.0,,reported,14.53077679846455,,17.364840547128125
FR,2012,34484000.0,34484000.0,2048489.9,,reported,14.532613445520003,,17.356006006311954
FR,2013,34176000.0,34176000.0,2064504.1,,reported,14.540400610259326,,17.347034201302005
FR,2014,34260000.0,34260000.0,2085104.4,,reported,14.550329483903926,,17.34948905086025
FR,2015,34344000.0,34344000.0,2107347.3,66458153.0,reported,14.560940510717106,18.012083029351967,17.351937888886532
FR,2016,36891000.0,36930000.0,2125471.2,66638391.0,reported,14.569504076936184,18.01479141087351,17.423478176822695
FR,2017,37357000.0,37339000.0,2169757.8,66809816.0,reported,14.590126106384233,18.017360573819136,17.436030868314848
FR,2018,37380000.0,36603000.0,2205470.1,67026224.0,reported,14.606451241418684,18.020594503762148,17.43664635999169
FR,2019,37407000.0,36566000.0,2250184.8,67290471.0,reported,14.62652290414118,18.02452919469417,17.437368410646833
FR,2020,36096000.0,34877000.0,2082756.5,67473651.0,reported,14.549202814706131,18.02724772407864,17.401692613839867
FR,2021,38272000.0,36428000.0,2226098.8,67728568.0,reported,14.615761194378933,18.0310186281948,17.460229116292442
